Age,latitude,longitude,Pin code,Medium (P1),Medium (P2),Ease and convenient,Time saving,Easy Payment option,Good delevery safe ,Good Tracking system,Late Delivery,product damage ,Bad past experience,Unavailability,Long delivery time,Delay of delivery ,Wrong order delivered,Missing item,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Output,Reviews
20,12.9766,77.5993,560001,Speed posst,Web browser,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,"Nil
"
24,12.977,77.5773,560009,Speed posst,Web browser,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Neutral,Disagree,Strongly disagree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Yes,Nil
22,12.9551,77.6593,560017,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Neutral,Neutral,Agree,Yes,Important,Very Important,Moderately Important,Very Important,Yes,"Many a times payment gateways are an issue, so getting the refund and the surcharges are an inconvenience"
22,12.9473,77.5616,560019,Speed posst,Normal Post,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Agree,Agree,Neutral,Agree,Yes,Very Important,Important,Moderately Important,Very Important,Yes,nil
22,12.985,77.5533,560010,Normal Post,Post Man pickup,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Important,Yes,NIL
27,12.9299,77.6848,560103,Speed posst,Normal Post,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Important,Very Important,Very Important,Very Important,Yes,NIL
22,12.977,77.5773,560009,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Agree,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Yes,Very Important,Very Important,Unimportant,Important,Yes,Nil
24,12.9828,77.6131,560042,Speed posst,Post Man pickup,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,Neutral,Disagree,Maybe,Moderately Important,Important,Moderately Important,Slightly Important,Yes,NIL
23,12.9766,77.5993,560001,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Disagree,Neutral,Agree,Agree,Maybe,Important,Important,Important,Important,Yes,Nil
23,12.9854,77.7081,560048,Speed posst,Normal Post,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,Disagree,Disagree,Yes,Moderately Important,Very Important,Moderately Important,Moderately Important,Yes,Nil
